"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.01uF","","","","Capacitor_SMD:C_0805_2012Metric","https://robu.in/product/c0805c103k3ractu-kemet-smd-multilayer-ceramic-capacitor-0-01-%C2%B5f-25-v-0805-2012-metric-%C2%B1-10-x7r-c-series-kemet/"
"C2","1","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric","https://robu.in/product/c2012x7r1h225k125ae-tdk-smd-multilayer-ceramic-capacitor-2-2-%C2%B5f-50-v-0805-2012-metric-%C2%B1-10-x7r-c/"
"C3,C6,C8,C14","4","10uF","","","","Capacitor_SMD:C_0805_2012Metric","https://evelta.com/10uf-25v-10-x7r-0805-mlcc-multilayer-ceramic-capacitors-cl21b106kayqnne/?srsltid=AfmBOop6samneMPaHXx-MiI5JWJM9YKJ0N6rnU7zCnEWXG37b_t0nO_Q"
"C4,C5,C7,C9,C10,C15,C17","7","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","https://robu.in/product/c0805c104k1ractu-kemet-smd-multilayer-ceramic-capacitor-0-1-%C2%B5f-100-v-0805-2012-metric-%C2%B1-10-x7r-c-series-kemet/"
"C11,C12,C16","3","22uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.ktron.in/product/22uf-25v-ceramic-capacitor-smd-0805-2/?srsltid=AfmBOoqlXi3XPX-LjDrdOjtY_ooVU8QOZj7EsHtxi2vQ-D3fkosC9xfn"
"C13","1","75pF","","","","Capacitor_SMD:C_0805_2012Metric","https://robu.in/product/tcc0805cog750j500bt-cctc-smt-ceramic-capacitors-0805-cog-750j75pf%C2%B15-0-rated-voltage50v-thickness0-60mmtape/"
"D7","1","SP0503BAHT","","","","Package_TO_SOT_SMD:SOT-143","https://robu.in/product/sp0503bahtg-littelfuse-sp0503bahtg-esd-protection-device-tvs-8-5-v-sot-143-4-pins-5-5-v-spa-sp05-series/"
"D14,D17,D18","3","LED","","","","LED_SMD:LED_0805_2012Metric","https://robu.in/product/17-21-g6c-ap1q1b-3t-everlight-yellow-green-574nm-led-indication-discrete-2-05v-0805-2012-metric/"
"D16,D19,D20","3","SS14","","","","Diode_SMD:D_SMA","https://robu.in/product/ss14-slkor-40v-550mv1a-1a-smado-214ac-schottky-diodes-rohs/"
"J1","1","ToF Female Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","https://robu.in/product/6-pin-female-11mm-tall-stackable-header-connector-for-arduino-5pcs/"
